Pokemon,Type 1,Type 2,Stade d'évolution,Entièrement évolué,Couleur,Habitat,Gen
Castorno,Normal,Eau,2,Oui,Marron,freshwater,4
Crikzik,Insecte,None,1,Non,Rouge,grassland,4
Mélokrik,Insecte,None,2,Oui,"Rouge, Noir",grassland,4
Lixy,Électrik,None,1,Non,"Bleu, Noir",grassland,4
Luxio,Électrik,None,2,Non,"Bleu, Noir",grassland,4
Luxray,Électrik,None,3,Oui,"Noir, Bleu",grassland,4
Rozbouton,Plante,Poison,1,Non,"Vert, Jaune",grassland,4
Roserade,Plante,Poison,3,Oui,Vert,grassland,4
Kranidos,Roche,None,1,Non,"Gris, Bleu",jungle,4
Charkos,Roche,None,2,Oui,"Gris, Bleu",jungle,4
Dinoclier,Roche,Acier,1,Non,"Gris, Jaune",forest,4
Bastiodon,Roche,Acier,2,Oui,"Gris, Jaune",forest,4
Cheniti,Insecte,None,1,Non,Vert,"city,forest",4
Cheniselle,Insecte,Plante,2,Oui,Vert,"city,forest",4
Papilord,Insecte,Vol,2,Oui,Jaune,forest,4
Apitrini,Insecte,Vol,1,Non,Jaune,"cave,forest",4
Apireine,Insecte,Vol,2,Oui,"Jaune, Noir","cave,forest",4
Pachirisu,Électrik,None,1,Oui,Blanc,"forest,grassland,city",4
Mustébouée,Eau,None,1,Non,Orange,"freshwater,beach",4
Mustéflott,Eau,None,2,Oui,Orange,"freshwater,beach",4
Ceribou,Plante,None,1,Non,Rose,forest,4
Ceriflor,Plante,None,2,Oui,Violet,forest,4
Sancoki,Eau,None,1,Non,Rose,"beach,tropicalSea",4
Tritosor,Eau,Sol,2,Oui,"Rose, Marron","beach,tropicalSea",4
Capidextre,Normal,None,2,Oui,Violet,"forest,jungle",4
Baudrive,Spectre,Vol,1,Non,Violet,"mountain,volcano",4
Grodrive,Spectre,Vol,2,Oui,Violet,"mountain,volcano",4
Laporeille,Normal,None,1,Non,Marron,"forest,grassland",4
Lockpin,Normal,None,2,Oui,Marron,"forest,grassland",4
Magirêve,Spectre,None,2,Oui,Violet,"cave,forest",4
Corboss,Ténèbres,Vol,2,Oui,Noir,"city,forest,swamp",4
Chaglam,Normal,None,1,Non,Gris,"city,forest",4
Chaffreux,Normal,None,2,Oui,"Gris, Blanc","city,forest",4
Korillon,Psy,None,1,Non,Jaune,"mountain,cave,ruin",4
Moufouette,Poison,Ténèbres,1,Non,Violet,forest,4
Moufflair,Poison,Ténèbres,2,Oui,Violet,forest,4
Archéomire,Acier,Psy,1,Non,Bleu,"cave,ruin",4
Archéodong,Acier,Psy,2,Oui,Gris,"cave,ruin",4
Manzaï,Roche,None,1,Non,Marron,"forest,mountain",4
Mime Jr.,Psy,None,1,Non,Rose,city,4
Ptiravi,Normal,None,1,Non,Rose,"grassland,forest",4
Pijako,Normal,Vol,1,Oui,"Noir, Vert","beach,forest,jungle",4
Spiritomb,Spectre,Ténèbres,1,Oui,Violet,ruin,4
Griknot,Dragon,Sol,1,Non,"Bleu, Rouge","desertbadlands,cave,volcano",4
Carmache,Dragon,Sol,2,Non,"Bleu, Rouge","desertbadlands,cave,volcano",4
Carchacrok,Dragon,Sol,3,Oui,"Bleu, Rouge","desertbadlands,cave,volcano",4
Goinfrex,Normal,None,1,Non,Bleu,"city,forest,mountain",4
Riolu,Combat,None,1,Non,"Bleu, Noir",mountain,4
Lucario,Combat,Acier,2,Oui,"Bleu, Noir",mountain,4
Hippopotas,Sol,None,1,Non,Marron,desertbadlands,4
Hippodocus,Sol,None,2,Oui,"Marron, Noir",desertbadlands,4
Rapion,Poison,Insecte,1,Non,Violet,"desertbadlands,swamp",4
Drascore,Poison,Ténèbres,2,Oui,Violet,"desertbadlands,swamp",4
Cradopaud,Poison,Combat,1,Non,Bleu,"jungle,swamp",4
Coatox,Poison,Combat,2,Oui,Bleu,"jungle,swamp",4
Vortente,Plante,None,1,Oui,Vert,"forest,swamp",4
Écayon,Eau,None,1,Non,Bleu,"ocean,freshwater,tropicalSea",4
Luminéon,Eau,None,2,Oui,Bleu,ocean,4
Babimanta,Eau,Vol,1,Non,Bleu,"ocean,tropicalSea",4
Blizzi,Plante,Glace,1,Non,Blanc,ice,4
Blizzaroi,Plante,Glace,2,Oui,Blanc,ice,4
Dimoret,Ténèbres,Glace,2,Oui,"Noir, Rouge",ice,4
Magnézone,Ténèbres,Glace,2,Oui,"Noir, Rouge",ice,4
Coudlangue,Électrik,Acier,3,Oui,Gris,industrial,4
Rhinastoc,Sol,Roche,3,Oui,"Gris, Orange","mountain,cave,desertbadlands",4
Bouldeneu,Plante,None,2,Oui,Bleu,"grassland,jungle",4
Élekable,Électrik,None,3,Oui,"Jaune, Noir","grassland,industrial",4
Maganon,Feu,None,3,Oui,"Rouge, Jaune",volcano,4
Togekiss,Normal,Vol,3,Oui,Blanc,forest,4
Yanmega,Insecte,Vol,2,Oui,"Vert, Rouge","forest,swamp",4
Phyllali,Plante,None,2,Oui,"Jaune, Vert",forest,4
Givrali,Glace,None,2,Oui,Bleu,ice,4
Scorvol,Sol,Vol,2,Oui,Gris,"desertbadlands,forest,mountain",4
Mammochon,Glace,Sol,3,Oui,Marron,ice,4
Porygon-Z,Normal,None,3,Oui,"Rose, Bleu",city,4
Gallame,Psy,Combat,3,Oui,"Blanc, Vert",city,4
Tarinorme,Roche,Acier,2,Oui,"Bleu, Rouge",industrial,4
Noctunoir,Spectre,None,3,Oui,"Noir, Jaune","desertbadlands,forest,ruin",4
Momartik,Glace,Spectre,2,Oui,Blanc,ice,4
Motisma,Électrik,Spectre,1,Oui,"Orange, Bleu","city,industrial",4
Créhelf,Psy,None,1,Oui,"Jaune, Bleu","cave,freshwater",4
Créfollet,Psy,None,1,Oui,"Rose, Bleu","cave,freshwater",4
Créfadet,Psy,None,1,Oui,Bleu,"cave,freshwater",4
Dialga,Acier,Dragon,1,Oui,"Bleu, Blanc",unknown,4
Palkia,Eau,Dragon,1,Oui,"Blanc, Rose",unknown,4
Heatran,Feu,Acier,1,Oui,"Rouge, Gris","cave,mountain,volcano",4
Regigigas,Normal,None,1,Oui,"Gris, Jaune","cave,ruin",4
Giratina,Spectre,Dragon,1,Oui,"Gris, Rouge",unknown,4
Cresselia,Psy,None,1,Oui,"Violet, Bleu","forest,freshwater",4
Phione,Eau,None,1,Oui,Bleu,"ocean,tropicalSea",4
Manaphy,Eau,None,1,Oui,Bleu,ocean,4
Darkrai,Ténèbres,None,1,Oui,Noir,"city,forest",4
Shaymin,Plante,None,1,Oui,Vert,"city,forest",4
Arceus,Normal,None,1,Oui,"Blanc, Jaune",unknown,4
